Flight Number, Start Time (UTC), Sim Start Time (UTC), Origination Airport, Origination Airport Name, Departure Runway, Destination Airport, Destination Airport Name, Flight Time, Flight Time - Day, Flight Time - Night, Flight Distance (nm), Take Offs, Day Takeoffs, Night Takeoffs, Landings, Day Landings, Night Landings, Aircraft Mfg, Aircraft Type, Aircraft Codename, Aircraft Model, Startup Location, Type of Flight Decoded, Latitude,Longitude,Weather,Flight Description
57,2022/10/15 4:31:02,2021/3/6 23:37:19,PGM,"Port Graham Airport,  Port Graham AK",30,AK07,"Dog Fish Bay Airport,  Nanwalek AK",00:04:51,00:04:51,00:00:00,6.8562,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Runway,Tutorial Mission,59.2463698852701,-151.873930301517,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-bushchallenge"
58,2022/10/15 4:37:44,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:05:15,00:05:15,00:00:00,9.4882,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.9129102407079,-1.55946834012866,"IFRNAV1","microsoft-flight-tutorials-ifrnav-climbdescent"
59,2022/10/15 4:44:01,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:04:21,00:04:21,00:00:00,8.3493,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.918660234459,-1.4576465729624,"IFRNAV1","microsoft-flight-tutorials-ifrnav-turns"
60,2022/10/15 4:48:55,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGET,"Lerwick / Tingwall Airport,  Lerwick SCT",00:04:44,00:04:44,00:00:00,7.4036,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,60.0615552278351,-1.28236890770495,"IFRNAV1","microsoft-flight-tutorials-ifrnav-speeds"
61,2022/10/15 4:54:14,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:04:03,00:04:03,00:00:00,7.2885,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8542765016122,-1.27643661573529,"IFRNAV1","microsoft-flight-tutorials-ifrnav-vor"
62,2022/10/15 4:58:39,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:04:15,00:04:15,00:00:00,8.0602,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8532866748319,-1.2752996943891,"IFRNAV1","microsoft-flight-tutorials-ifrnav-vor"
63,2022/10/15 9:55:40,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:03:28,00:03:28,00:00:00,6.5234,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8859869522834,-1.30544814281166,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ndb"
64,2022/10/15 9:59:50,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:03:38,00:03:38,00:00:00,7.0053,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8827205239083,-1.31361337378621,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ndb"
65,2022/10/15 10:03:59,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:01:36,00:01:36,00:00:00,2.6393,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8975859224636,-1.09045710414648,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ils"
66,2022/10/15 10:06:17,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:05:51,00:05:51,00:00:00,8.6114,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.882090634139,-1.2840501498431,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ils"
67,2022/10/15 10:12:40,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:05:43,00:05:43,00:00:00,8.3031,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8824775664259,-1.27272066660225,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ils"
68,2022/10/15 10:18:35,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:05:49,00:05:49,00:00:00,8.8461,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.8817396955533,-1.28894953988492,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ils"
69,2022/10/15 10:33:38,2021/3/21 12:55:45,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:05:52,00:05:52,00:00:00,8.8038,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.881730697128,-1.29066531546414,"IFRNAV1","microsoft-flight-tutorials-ifrnav-ils"
70,2022/10/15 10:40:12,2021/1/29 8:30:39,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:00:17,00:00:17,00:00:00,0.5758,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,60.0114789911765,-1.50131452828646,"IFRCHALLENGE","microsoft-flight-tutorials-ifrnav-ifrchallenge"
71,2022/10/15 10:55:41,2021/1/29 8:30:39,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:01:41,00:01:41,00:00:00,3.3907,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.9785357562427,-1.43446214497089,"IFRCHALLENGE","microsoft-flight-tutorials-ifrnav-ifrchallenge"
72,2022/10/15 10:57:39,2021/1/29 8:30:39,EGPB,"Sumburgh Airport,  Lerwick SCT",0,EGPB,"Sumburgh Airport,  Lerwick SCT",00:06:45,00:06:45,00:00:00,12.1491,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Tutorial Mission,59.9141520233959,-1.33276015520096,"IFRCHALLENGE","microsoft-flight-tutorials-ifrnav-ifrchallenge"
73,2022/10/15 14:50:26,2021/5/11 13:25:00,6N7,"New York Skyports Inc Seaplane Base,  New York NY",0,6N7,"New York Skyports Inc Seaplane Base,  New York NY",00:03:51,00:03:51,00:00:00,6.3616,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Discovery Flight,40.7003454395481,-74.0211954340339,"TT:MENU.WEATHERTYPE_10BROKEN_CLOUDS","asobo-discovery-newyork"
74,2022/10/15 16:19:38,2020/11/14 20:21:00,KNFL,"Fallon Naval Air Station,  Fallon NV",7,KNFL,"Fallon Naval Air Station,  Fallon NV",00:00:00,00:00:00,00:00:00,0.0557,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Mrk Asobo",Runway,Tutorial Mission,39.4130397180493,-118.714519869536,"SplitS","asobo-tutorials-mrk-afterburnertakeoff"
75,2022/10/15 16:21:37,2020/11/14 20:21:00,KNFL,"Fallon Naval Air Station,  Fallon NV",7,KNFL,"Fallon Naval Air Station,  Fallon NV",00:00:09,00:00:09,00:00:00,1.4316,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Mrk Asobo",Runway,Tutorial Mission,39.4140835353813,-118.684906773269,"SplitS","asobo-tutorials-mrk-afterburnertakeoff"
76,2022/10/15 16:24:12,2020/11/14 20:21:00,KNFL,"Fallon Naval Air Station,  Fallon NV",7,KNFL,"Fallon Naval Air Station,  Fallon NV",00:00:48,00:00:48,00:00:00,5.3033,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Mrk Asobo",Runway,Tutorial Mission,39.409665308571,-118.601921992376,"SplitS","asobo-tutorials-mrk-afterburnertakeoff"
77,2022/10/15 16:28:21,2020/11/14 20:21:00,KNFL,"Fallon Naval Air Station,  Fallon NV",7,KNFL,"Fallon Naval Air Station,  Fallon NV",00:00:48,00:00:48,00:00:00,3.9987,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Mrk Asobo",Runway,Tutorial Mission,39.4151723448397,-118.62964916043,"SplitS","asobo-tutorials-mrk-afterburnertakeoff"
78,2022/10/15 16:31:17,2020/11/14 20:21:00,KNFL,"Fallon Naval Air Station,  Fallon NV",7,KNFL,"Fallon Naval Air Station,  Fallon NV",00:00:46,00:00:46,00:00:00,3.8748,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_JET","asobo-aircraft-fa18e","Boeing F/A 18E Super Hornet Mrk Asobo",Runway,Tutorial Mission,39.4147224235759,-118.632296919823,"SplitS","asobo-tutorials-mrk-afterburnertakeoff"
79,2022/10/16 5:53:09,2021/9/15 10:43:00,ARC1,"",0,ARC1,"",00:03:42,00:03:42,00:00:00,4.7993,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-dr400","DR400 Asobo",Flying,Discovery Flight,48.876278651236,2.27385191246867,"Test Naples","asobo-discovery-paris"
80,2022/10/16 6:00:44,2021/9/15 10:43:13,LFPG,"Charles de Gaulle International Airport,  Paris IDF",26,LFPA,"Persan-Beaumont Airfield,  Bernes-sur-Oise IDF",00:10:43,00:10:43,00:00:00,17.3590,1,1,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,49.2250936086185,2.47356433421373,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
81,2022/10/16 6:16:58,2018/6/14 4:00:00,LDRI,"Rijeka Airport,  Rijeka 8",14,LDRI,"Rijeka Airport,  Rijeka 8",00:04:29,00:04:29,00:00:00,7.8053,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Runway,IFR or Bush Flight,45.1412212862749,14.7015431709588,"Scattered Clouds","asobo-bushtrip-balkans"
82,2022/10/16 6:24:38,2021/3/16 12:11:00,EGLC,"London City Airport,  London ENG",0,MRGR,"",00:01:07,00:01:07,00:00:00,1.6959,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-flightdesignct","FlightDesignCT Asobo",Flying,Discovery Flight,51.4958822206114,-0.00763390213251114,"LondonEYEShot","asobo-discovery-london"
83,2022/10/16 6:31:41,2021/5/11 13:25:00,6N7,"New York Skyports Inc Seaplane Base,  New York NY",0,6N7,"New York Skyports Inc Seaplane Base,  New York NY",00:03:04,00:03:04,00:00:00,5.2624,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Discovery Flight,40.709451845927,-73.991786101833,"TT:MENU.WEATHERTYPE_10BROKEN_CLOUDS","asobo-discovery-newyork"
84,2022/10/16 6:35:58,2021/5/11 13:25:00,6N7,"New York Skyports Inc Seaplane Base,  New York NY",0,KTEB,"Teterboro Airport,  Teterboro NJ",00:36:58,00:36:58,00:00:00,63.2262,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Flying,Discovery Flight,40.845975954208,-74.0713302791119,"TT:MENU.WEATHERTYPE_10BROKEN_CLOUDS","asobo-discovery-newyork"
85,2022/10/19 12:43:26,2022/10/19 12:02:15,KADW,"Joint Base Andrews,  Camp Springs MD",1,KDCA,"Ronald Reagan Washington National Airport,  Washington DC",00:13:05,00:13:05,00:00:00,12.6212,1,1,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,38.8724503211938,-77.0555821806192,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
86,2022/10/20 9:00:59,2022/10/20 8:02:04,ZBAA,"Beijing Capital International Airport,  Beijing 11",36,ZBAA,"Beijing Capital International Airport,  Beijing 11",00:04:57,00:04:57,00:00:00,7.7236,1,1,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,40.1843487389707,116.60171742551,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
87,2022/10/23 6:57:58,2022/10/23 6:02:06,ZSSS,"Shanghai Hongqiao International Airport,  Shanghai (Minhang) 31",36,ZSSS,"Shanghai Hongqiao International Airport,  Shanghai (Minhang) 31",00:00:00,00:00:00,00:00:00,0.0547,0,0,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,31.1838268303047,121.337050488219,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
88,2022/10/23 7:00:47,2022/10/23 6:02:01,ZSSS,"Shanghai Hongqiao International Airport,  Shanghai (Minhang) 31",36,ZSSS,"Shanghai Hongqiao International Airport,  Shanghai (Minhang) 31",00:17:22,00:17:22,00:00:00,15.2034,1,1,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,31.0215402304597,121.337391044945,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
89,2022/10/23 13:01:09,2022/10/23 15:54:31,KLAS,"Harry Reid International Airport,  Las Vegas NV",26,KLAS,"Harry Reid International Airport,  Las Vegas NV",00:00:00,00:00:00,00:00:00,0.1629,0,0,0,0,0,0,PMDG,"PLANETYPE_AIRLINER","pmdg-aircraft-737","PMDG 737-700 PMDG House (N737BW | 2021)",Runway,Free Flight,36.0764236258655,-115.124503718689,"实况","asobo-freeflights"
90,2022/10/23 13:14:45,2022/10/23 13:01:03,KSAN,"San Diego International Airport,  San Diego CA",27,KSNA,"John Wayne Orange County International Airport,  Santa Ana CA",00:11:21,00:11:21,00:00:00,57.7661,1,1,0,0,0,0,PMDG,"PLANETYPE_AIRLINER","pmdg-aircraft-737","PMDG 737-700 PMDG House (N737BW | 2021)",Runway,Free Flight,33.4746099432599,-117.875600578263,"实况","asobo-freeflights"
91,2022/10/23 13:30:16,2022/10/23 13:01:03,KSAN,"San Diego International Airport,  San Diego CA",27,KLAX,"Los Angeles International Airport,  Los Angeles CA",00:25:13,00:25:13,00:00:00,100.0014,1,1,0,1,1,0,PMDG,"PLANETYPE_AIRLINER","pmdg-aircraft-737","PMDG 737-700 PMDG House (N737BW | 2021)",Runway,Free Flight,33.9394325992951,-118.410652829334,"实况","asobo-freeflights"
92,2022/10/25 14:42:17,2022/10/25 14:42:18,KTPA,"Tampa International Airport,  Tampa FL",19,KMCO,"Orlando International Airport,  Orlando FL",00:21:58,00:21:58,00:00:00,81.3895,1,1,0,1,1,0,FlyByWire Simulations,"PLANETYPE_AIRLINER","flybywire-aircraft-a320-neo","Airbus A320neo FlyByWire",Runway,Free Flight,28.4307316219662,-81.3210479635745,"实况","asobo-freeflights"
93,2022/11/1 10:40:24,2022/11/1 10:40:25,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:03:40,00:03:40,00:00:00,1.6855,1,1,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,22.3242652535806,114.200777253136,"实况","asobo-freeflights"
94,2022/11/1 10:49:10,2022/11/1 10:49:11,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:03:40,00:03:40,00:00:00,4.7284,1,1,0,0,0,0,DeimoS Inc,"PLANETYPE_TURBO","deimosinc-aircraft-pc21","PC21-A",Runway,Free Flight,22.2635078861199,114.244544953108,"实况","asobo-freeflights"
95,2022/11/4 15:06:44,2022/11/4 21:57:01,YSCB,"Canberra International Airport,  Canberra ACT",17,YSSY,"Sydney Kingsford Smith International Airport,  Sydney NSW",00:31:58,00:31:58,00:00:00,138.0288,1,1,0,1,1,0,DeimoS Inc,"PLANETYPE_TURBO","deimosinc-aircraft-pc21","PC21-A",Runway,Free Flight,-33.9338355787737,151.189904808998,"实况","asobo-freeflights"
96,2022/11/5 15:02:16,2022/11/5 15:02:17,SEQM,"Mariscal Sucre International Airport,  Quito P",36,SEQM,"Mariscal Sucre International Airport,  Quito P",00:00:00,00:00:00,00:00:00,0.2292,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Parking,Free Flight,-0.126940785362562,-78.3562702406198,"实况","asobo-freeflights"
97,2022/11/5 15:08:35,2022/11/5 15:08:35,SEQM,"Mariscal Sucre International Airport,  Quito P",36,SEQM,"Mariscal Sucre International Airport,  Quito P",00:00:30,00:00:30,00:00:00,2.2357,1,1,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c172sp-as1000","Cessna Skyhawk G1000 Asobo",Parking,Free Flight,-0.125258079836029,-78.3556123450398,"实况","asobo-freeflights"
98,2022/11/5 15:24:20,2022/11/5 15:24:20,SEQU,"Mariscal Sucre Air Base,  Quito P",35,SEQU,"Mariscal Sucre Air Base,  Quito P",00:00:00,00:00:00,00:00:00,0.0572,0,0,0,0,0,0,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,-0.154125028120079,-78.4862940106541,"实况","asobo-freeflights"
99,2022/11/5 15:27:47,2022/11/5 3:37:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHH,"Hong Kong International Airport,  Islands NT",00:20:51,00:10:37,00:10:14,17.4112,1,1,0,1,0,1,HPG & Destroyer121, livery by Crispy136,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135",Runway,Free Flight,22.3078161321769,113.922282485291,"实况","asobo-freeflights"
100,2022/11/5 15:54:43,2022/11/5 15:54:43,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:05:34,00:00:00,00:05:34,17.4587,1,0,1,1,0,1,DeimoS Inc,"PLANETYPE_TURBO","deimosinc-aircraft-pc21","PC21-A",Runway,Free Flight,22.3135211338016,114.204851109535,"实况","asobo-freeflights"
101,2022/11/10 15:32:38,2022/11/10 15:32:39,VHHH,"Hong Kong International Airport,  Islands NT",7,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:17:43,00:16:11,00:01:32,24.4370,1,0,1,0,0,0,HPG & Destroyer121, livery by pizzamonster,"PLANETYPE_OTHER","hpg-airbus-h135","Airbus H135 BLUE BIRD",Runway,Free Flight,22.3770680130977,114.27362353541,"实况","asobo-freeflights"
102,2022/11/12 8:28:21,2022/11/12 17:26:09,KLAX,"Los Angeles International Airport,  Los Angeles CA",25,KLAX,"Los Angeles International Airport,  Los Angeles CA",00:05:53,00:05:53,00:00:00,1.4597,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,33.9384877646412,-118.395027872175,"实况","asobo-freeflights"
103,2022/11/12 8:38:26,2022/11/12 2:02:41,ZSSS,"Shanghai Hongqiao International Airport,  Shanghai (Minhang) 31",18,ZSSS,"Shanghai Hongqiao International Airport,  Shanghai (Minhang) 31",00:02:39,00:02:39,00:00:00,1.9136,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-xcub","Asobo XCub",Runway,Free Flight,31.1980623390907,121.355138635263,"实况","asobo-freeflights"
104,2022/11/12 14:21:01,2022/7/19 16:24:00,EDLO,"Flugplatz Oerlinghausen,  Oerlinghausen NW",22,EDLO,"Flugplatz Oerlinghausen,  Oerlinghausen NW",00:00:43,00:00:43,00:00:00,1.1478,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_GLIDER","asobo-aircraft-dg1001-e","Asobo DG1001E Neo",Runway,Tutorial Mission,51.91934811408,8.64557672291994,"Custom Clear Skies","microsoft-tutorials-glider-aerotow"
105,2022/11/12 14:23:15,2022/7/19 16:24:00,EDLO,"Flugplatz Oerlinghausen,  Oerlinghausen NW",22,EDLO,"Flugplatz Oerlinghausen,  Oerlinghausen NW",00:00:58,00:00:58,00:00:00,1.4484,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_GLIDER","asobo-aircraft-dg1001-e","Asobo DG1001E Neo",Runway,Tutorial Mission,51.9142640037993,8.642891747877,"Custom Clear Skies","microsoft-tutorials-glider-aerotow"
106,2022/11/12 14:34:14,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,KJRB,"Downtown Manhattan Heliport,  New York NY",00:00:38,00:00:38,00:00:00,0.1581,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.702334091534,-74.0109131019562,"HelicoWeather","asobo-discovery-helicopters"
107,2022/11/12 14:39:26,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,6N7,"New York Skyports Inc Seaplane Base,  New York NY",00:13:54,00:13:54,00:00:00,9.7930,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.7596900542405,-73.9837751816958,"HelicoWeather","asobo-discovery-helicopters"
108,2022/11/12 14:59:38,2022/9/3 2:27:01,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",13,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:00:30,00:00:30,00:00:00,0.0543,0,0,0,0,0,0,Nemeth Designs,"PLANETYPE_ROTORCRAFT","microsoft-aircraft-bell407","Bell 407 Blue Stripes",Runway,Free Flight,22.3254440472917,114.193270839751,"实况","asobo-freeflights"
109,2022/11/12 15:04:36,2022/11/12 2:27:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",0,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:05:23,00:05:23,00:00:00,4.0973,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Free Flight,22.2788771964906,114.179019508883,"实况","asobo-freeflights"
110,2022/11/12 15:19:07,2022/11/12 13:27:03,SCVD,"Pichoy Airport,  Valdivia LR",35,SCVD,"Pichoy Airport,  Valdivia LR",00:07:28,00:07:28,00:00:00,1.1383,1,1,0,1,1,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,-39.6500942335091,-73.0835383292288,"实况","asobo-freeflights"
111,2022/11/12 15:28:17,2022/11/12 13:27:03,SCVD,"Pichoy Airport,  Valdivia LR",35,SCVD,"Pichoy Airport,  Valdivia LR",00:23:10,00:23:10,00:00:00,5.8323,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Runway,Free Flight,-39.6399710050741,-73.0848597362638,"实况","asobo-freeflights"
112,2022/11/13 5:37:40,2022/11/13 5:02:11,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",31,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:01:17,00:01:17,00:00:00,0.5108,0,0,0,0,0,0,Nemeth Designs,"PLANETYPE_ROTORCRAFT","microsoft-aircraft-bell407","Bell 407 Blue Stripes",Runway,Free Flight,22.2975939210638,114.218404982239,"实况","asobo-freeflights"
113,2022/11/13 5:43:24,2022/11/13 5:02:02,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",0,VHHX,"Hong Kong International Airport Kai Tak,  Kowloon City KLN",00:08:33,00:08:33,00:00:00,4.0983,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Free Flight,22.3249491339016,114.195476453751,"实况","asobo-freeflights"
114,2022/11/16 9:46:18,2022/11/16 9:02:06,TICE,"",0,EBBR,"Brussels Airport,  Zaventem BRU",00:13:10,00:13:10,00:00:00,9.7793,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Free Flight,50.9081590721624,4.48595845140517,"实况","asobo-freeflights"
115,2022/11/16 10:01:00,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,KJRB,"Downtown Manhattan Heliport,  New York NY",00:16:30,00:16:30,00:00:00,13.2117,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.7193321168795,-74.0209471620619,"HelicoWeather","asobo-discovery-helicopters"
116,2022/11/16 10:29:31,2022/9/3 14:15:00,KJRB,"Downtown Manhattan Heliport,  New York NY",0,KJRB,"Downtown Manhattan Heliport,  New York NY",00:01:50,00:01:50,00:00:00,1.1517,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_ROTORCRAFT","asobo-aircraft-cabri-g2","Asobo Cabri G2",Flying,Discovery Flight,40.7048536506111,-74.0043721161783,"HelicoWeather","asobo-discovery-helicopters"
